 Resultados de la simulación
 Numero de partículas:         500
 Volumen de la caja   1000.0000000000000     
 Lado de la caja   10.000000000000000     
 Radio de corte del potencial   5.0000000000000000     
 Energía potencial =  -1688.1603719028210     
 Energía cinética  =   1023.1603719028227     
 Energía total     =  -664.99999999999829     
 Momento neto  =   1.7341171882562566E-014
 Posiciones, velocidades, aceleraciones
     i       rx             ry             rz             vx             vy             vz             ax             ay             az
     1       0.025860      -0.030005       0.105809      -0.985330       0.045395       1.935534      -0.778814      -1.391114       2.600188
     2       1.148120       1.103970      -0.169526       2.039566       0.897367      -1.357825       2.145934      -0.593893       0.656854
     3       0.875260      -0.079232       0.960750      -0.234715       1.222326      -1.775454       1.295862      -2.199062      -4.076041
     4       0.123496       1.055597       1.016954      -0.988388      -0.244928      -0.472434       0.541330      -0.855742       0.245915
     5       1.899037       0.124216       0.076592      -1.242621      -1.392887       2.006772      -1.018893      -1.173954      -1.106009
     6       3.031117       1.143622      -0.146288       2.018644      -0.394204      -0.667965      -0.441814      -9.598170       9.125843
     7       2.802189      -0.016314       1.117838       0.298409      -1.739466       0.777897      -1.199665      -0.733070       0.091140
     8       1.944323       0.921148       0.872935       1.905657       1.907157      -1.947202      -0.037696       1.049179       0.039213
     9       3.913218       0.185940       0.077613      -1.007305      -1.715301       0.023938      -3.787377     -18.358488     -25.976928
    10       4.947635       1.172803       0.086927      -1.920682       0.457996      -2.024325      -1.259619       0.991313       0.537725
    11       5.040160      -0.137025       1.129642      -0.317319      -0.899084      -1.822421       0.555769       0.953909       0.553762
    12       4.007678       0.808142       0.838831       1.234124       0.339186      -1.316825       3.980296      21.357629      24.514863
    13       6.175389       0.090632       0.003806       1.008285       1.659185      -0.476477       0.967397       2.114970      -1.721689
    14       6.841502       1.168708       0.057276       0.918567      -1.272958      -0.266913       1.120539      -1.896684      -0.219150
    15       7.117181       0.073870       1.181107       1.457778       1.272771       1.213577       0.457192      -0.117592      -1.386560
    16       6.022693       1.154678       1.199778       0.579752      -1.377933      -1.378414       1.218430      -0.207377       2.069437
    17       7.868008       0.034622       0.154724      -1.957508      -0.556337       0.287141      -1.779169       0.470920       2.097216
    18       9.000747       0.815158      -0.178636      -0.925424       1.518177      -0.720824      -2.490302      -0.468519       0.610366
    19       9.178953      -0.037115       1.040353       0.931784       2.076920      -0.307817       3.653497      -0.898604      -1.094060
    20       7.898131       1.139978       1.065139      -1.308563      -0.258208       0.038560      -0.223159      -1.826118       1.860192
